City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kashary,RU,2021-04-06 21:19:11,49.04,41.0056,41.56,75,6,6.49
68,Castro,BR,2021-04-06 21:19:11,-24.7911,-50.0119,62.83,89,60,4.23
69,Iguape,BR,2021-04-06 21:19:11,-24.7081,-47.5553,72.27,88,100,12.06
70,Thompson,CA,2021-04-06 21:16:20,55.7435,-97.8558,39.2,56,20,2.3
71,Finschhafen,PG,2021-04-06 21:19:12,-6.6024,147.8681,80.24,78,100,3.2
72,Cape Town,ZA,2021-04-06 21:16:05,-33.9258,18.4232,64.0,88,0,11.5
73,Hithadhoo,MV,2021-04-06 21:19:12,-0.6,73.0833,83.32,61,97,10.42
74,Kahului,US,2021-04-06 21:19:12,20.8947,-156.47,75.2,69,40,16.11
75,Dondo,MZ,2021-04-06 21:19:13,-19.6094,34.7431,78.8,65,0,4.81
76,Hermanus,ZA,2021-04-06 21:19:13,-34.4187,19.2345,59.0,90,30,1.01
77,Mount Isa,AU,2021-04-06 21:19:14,-20.7333,139.5,71.6,56,10,5.75
78,Gamba,GA,2021-04-06 21:19:14,-2.65,10.0,77.65,90,97,4.29
79,Amapa,BR,2021-04-06 21:19:14,1.0,-52.0,75.76,97,100,2.37
80,Alta Floresta,BR,2021-04-06 21:17:33,-9.8756,-56.0861,77.58,88,100,1.5
81,Jamestown,US,2021-04-06 21:15:12,42.097,-79.2353,70.0,42,75,4.61
82,Hambantota,LK,2021-04-06 21:19:15,6.1241,81.1185,77.59,87,13,7.18
83,Port Hedland,AU,2021-04-06 21:19:15,-20.3167,118.5667,71.6,68,7,8.05
84,Port Elizabeth,ZA,2021-04-06 21:14:43,-33.918,25.5701,57.99,93,36,1.01
85,Khandyga,RU,2021-04-06 21:16:59,62.6667,135.6,-26.16,100,74,1.52
86,Vaini,TO,2021-04-06 21:19:16,-21.2,-175.2,78.8,78,20,6.91
87,Namibe,AO,2021-04-06 21:19:16,-15.1961,12.1522,77.74,79,96,2.15
88,Tasiilaq,GL,2021-04-06 21:19:16,65.6145,-37.6368,21.2,93,100,20.71
89,Kuruman,ZA,2021-04-06 21:19:17,-27.4524,23.4325,66.24,57,41,7.61
90,Carnarvon,AU,2021-04-06 21:16:34,-24.8667,113.6333,75.2,83,88,13.8
91,Qaanaaq,GL,2021-04-06 21:19:17,77.484,-69.3632,1.98,84,100,1.66
92,Tumut,AU,2021-04-06 21:19:18,-35.3,148.2167,64.4,82,5,1.14
93,Puerto Penasco,MX,2021-04-06 21:14:30,31.3167,-113.5333,73.99,60,90,7.0
94,Rio Pardo De Minas,BR,2021-04-06 21:19:18,-15.6097,-42.5397,73.33,65,94,5.01
95,Ati,TD,2021-04-06 21:19:18,13.2154,18.3353,87.37,12,3,10.69
96,Damaturu,NG,2021-04-06 21:19:19,11.747,11.9608,85.05,12,6,9.17
97,Kaitangata,NZ,2021-04-06 21:19:19,-46.2817,169.8464,57.99,76,100,8.99
98,Otukpo,NG,2021-04-06 21:19:19,7.1913,8.1329,85.15,56,99,10.36
99,Nikolskoye,RU,2021-04-06 21:19:20,59.7035,30.7861,36.0,80,0,8.95
100,Chuy,UY,2021-04-06 21:19:20,-33.6971,-53.4616,70.41,79,10,7.83
101,Tegh,AM,2021-04-06 21:19:20,39.5579,46.4772,47.34,62,75,3.65
102,Kodiak,US,2021-04-06 21:19:21,57.79,-152.4072,37.4,48,1,12.66
103,Airai,TL,2021-04-06 21:16:39,-8.9266,125.4092,59.77,85,78,0.98
104,Huangcun,CN,2021-04-06 21:19:21,30.0145,118.4037,56.03,81,100,3.47
105,Mehamn,NO,2021-04-06 21:19:22,71.0357,27.8492,33.8,69,75,20.71
106,Acapulco,MX,2021-04-06 21:19:22,16.8634,-99.8901,86.0,62,20,11.5
107,Praia Da Vitoria,PT,2021-04-06 21:19:22,38.7333,-27.0667,60.8,94,40,3.0
108,Banda Aceh,ID,2021-04-06 21:19:23,5.5577,95.3222,79.14,80,82,8.05
109,Ponta Do Sol,PT,2021-04-06 21:19:23,32.6667,-17.1,61.0,69,13,5.01
110,Nouadhibou,MR,2021-04-06 21:19:23,20.931,-17.0347,66.2,77,0,14.97
111,Leningradskiy,RU,2021-04-06 21:19:24,69.3833,178.4167,-8.01,91,65,6.08
112,Luganville,VU,2021-04-06 21:19:24,-15.5333,167.1667,81.01,78,76,9.84
113,Muli,MV,2021-04-06 21:19:24,2.9167,73.5667,83.55,62,100,4.9
114,Kavieng,PG,2021-04-06 21:14:29,-2.5744,150.7967,79.92,82,100,10.8
115,Novyy Urengoy,RU,2021-04-06 21:19:25,66.0833,76.6333,29.71,93,100,14.52
116,Birao,CF,2021-04-06 21:19:25,10.2849,22.7882,83.86,12,5,6.55
117,Phultala,BD,2021-04-06 21:19:26,22.7,89.5167,75.61,77,0,6.22
118,Barreirinhas,BR,2021-04-06 21:16:53,-2.7469,-42.8264,79.68,78,77,6.02
119,Half Moon Bay,US,2021-04-06 21:16:10,37.4636,-122.4286,64.99,76,90,8.77
120,Kupang,ID,2021-04-06 21:19:26,-10.1667,123.5833,76.33,80,88,3.67
121,Dvubratskiy,RU,2021-04-06 21:19:27,45.2389,39.805,51.8,66,0,11.18
122,Marawi,PH,2021-04-06 21:19:27,7.9986,124.2928,75.99,88,100,4.0
123,Atikokan,CA,2021-04-06 21:19:27,48.7555,-91.6216,58.19,23,40,5.48
124,Obo,CF,2021-04-06 21:19:28,5.3998,26.4869,69.48,89,100,4.81
125,San Patricio,US,2021-04-06 21:19:28,28.017,-97.5169,82.0,69,75,28.77
126,Portland,US,2021-04-06 21:19:29,45.5234,-122.6762,63.0,38,1,8.05
127,Safita,SY,2021-04-06 21:19:29,34.8205,36.1153,73.0,45,41,4.0
128,Luderitz,NA,2021-04-06 21:19:29,-26.6481,15.1594,61.48,86,1,13.15
129,Mao,ES,2021-04-06 21:19:30,39.8885,4.2658,53.6,66,20,13.8
130,Iqaluit,CA,2021-04-06 21:19:30,63.7506,-68.5145,14.0,92,90,5.75
131,Anchorage,US,2021-04-06 21:18:39,61.2181,-149.9003,24.8,36,1,4.36
132,Kununurra,AU,2021-04-06 21:18:50,-15.7667,128.7333,71.6,100,40,3.11
